,Feature,Ranking
11,pcr,1
90,"('2_day_before', 'Kelantan')",2
71,"('1_month_before', 'W.P. Labuan')",2
160,"('4_day_before', 'W.P. Kuala Lumpur')",2
62,"('1_month_before', 'Negeri Sembilan')",2
158,"('4_day_before', 'Selangor')",2
41,"('cases_new', 'W.P. Labuan')",2
149,"('4_day_before', 'Kedah')",2
106,"('2_week_before', 'Melaka')",2
54,"('1_day_before', 'Terengganu')",2
47,"('1_day_before', 'Negeri Sembilan')",3
4,cluster_religious,4
101,"('2_day_before', 'W.P. Labuan')",5
173,"('5_day_before', 'Selangor')",5
31,"('cases_new', 'Melaka')",7
55,"('1_day_before', 'W.P. Kuala Lumpur')",7
100,"('2_day_before', 'W.P. Kuala Lumpur')",9
176,"('5_day_before', 'W.P. Labuan')",9
32,"('cases_new', 'Negeri Sembilan')",11
119,"('3_day_before', 'Kedah')",13
93,"('2_day_before', 'Pahang')",13
151,"('4_day_before', 'Melaka')",13
98,"('2_day_before', 'Selangor')",15
61,"('1_month_before', 'Melaka')",15
91,"('2_day_before', 'Melaka')",17
30,"('cases_new', 'Kelantan')",18
89,"('2_day_before', 'Kedah')",19
130,"('3_day_before', 'W.P. Kuala Lumpur')",20
46,"('1_day_before', 'Melaka')",20
77,"('1_week_before', 'Negeri Sembilan')",22
128,"('3_day_before', 'Selangor')",23
69,"('1_month_before', 'Terengganu')",24
107,"('2_week_before', 'Negeri Sembilan')",25
3,cluster_import,26
102,"('2_day_before', 'W.P. Putrajaya')",27
85,"('1_week_before', 'W.P. Kuala Lumpur')",28
142,"('3_week_before', 'Sarawak')",29
121,"('3_day_before', 'Melaka')",30
