,Feature,Ranking
191,"('6_day_before', 'W.P. Labuan')",1
67,"('1_month_before', 'Sarawak')",1
71,"('1_month_before', 'W.P. Labuan')",1
76,"('1_week_before', 'Melaka')",1
77,"('1_week_before', 'Negeri Sembilan')",1
78,"('1_week_before', 'Pahang')",1
81,"('1_week_before', 'Sabah')",1
85,"('1_week_before', 'W.P. Kuala Lumpur')",1
86,"('1_week_before', 'W.P. Labuan')",1
143,"('3_week_before', 'Selangor')",1
92,"('2_day_before', 'Negeri Sembilan')",1
127,"('3_day_before', 'Sarawak')",1
188,"('6_day_before', 'Selangor')",1
123,"('3_day_before', 'Pahang')",1
102,"('2_day_before', 'W.P. Putrajaya')",1
122,"('3_day_before', 'Negeri Sembilan')",1
119,"('3_day_before', 'Kedah')",1
116,"('2_week_before', 'W.P. Labuan')",1
65,"('1_month_before', 'Perlis')",1
107,"('2_week_before', 'Negeri Sembilan')",1
146,"('3_week_before', 'W.P. Labuan')",1
147,"('3_week_before', 'W.P. Putrajaya')",1
4,cluster_religious,1
5,cluster_community,1
182,"('6_day_before', 'Negeri Sembilan')",1
8,cluster_detentionCentre,1
10,rtk-ag,1
35,"('cases_new', 'Pulau Pinang')",1
36,"('cases_new', 'Sabah')",1
61,"('1_month_before', 'Melaka')",1
112,"('2_week_before', 'Sarawak')",1
43,"('1_day_before', 'Johor')",1
175,"('5_day_before', 'W.P. Kuala Lumpur')",1
174,"('5_day_before', 'Terengganu')",1
167,"('5_day_before', 'Negeri Sembilan')",1
164,"('5_day_before', 'Kedah')",1
55,"('1_day_before', 'W.P. Kuala Lumpur')",1
160,"('4_day_before', 'W.P. Kuala Lumpur')",1
176,"('5_day_before', 'W.P. Labuan')",1
37,"('cases_new', 'Sarawak')",2
181,"('6_day_before', 'Melaka')",3
1,cases_import,4
131,"('3_day_before', 'W.P. Labuan')",5
89,"('2_day_before', 'Kedah')",6
41,"('cases_new', 'W.P. Labuan')",7
104,"('2_week_before', 'Kedah')",8
57,"('1_day_before', 'W.P. Putrajaya')",9
171,"('5_day_before', 'Sabah')",10
177,"('5_day_before', 'W.P. Putrajaya')",11
47,"('1_day_before', 'Negeri Sembilan')",12
166,"('5_day_before', 'Melaka')",13
56,"('1_day_before', 'W.P. Labuan')",14
161,"('4_day_before', 'W.P. Labuan')",15
144,"('3_week_before', 'Terengganu')",16
31,"('cases_new', 'Negeri Sembilan')",17
96,"('2_day_before', 'Sabah')",18
44,"('1_day_before', 'Kedah')",19
105,"('2_week_before', 'Kelantan')",20
101,"('2_day_before', 'W.P. Labuan')",21
128,"('3_day_before', 'Selangor')",22
179,"('6_day_before', 'Kedah')",23
103,"('2_week_before', 'Johor')",24
7,cluster_education,25
53,"('1_day_before', 'Selangor')",26
51,"('1_day_before', 'Sabah')",27
99,"('2_day_before', 'Terengganu')",28
62,"('1_month_before', 'Negeri Sembilan')",29
141,"('3_week_before', 'Sabah')",30
