,Feature,Ranking
1,cases_import,1
141,"('3_week_before', 'Sabah')",1
140,"('3_week_before', 'Perlis')",1
138,"('3_week_before', 'Pahang')",1
136,"('3_week_before', 'Melaka')",1
132,"('3_day_before', 'W.P. Putrajaya')",1
131,"('3_day_before', 'W.P. Labuan')",1
130,"('3_day_before', 'W.P. Kuala Lumpur')",1
129,"('3_day_before', 'Terengganu')",1
128,"('3_day_before', 'Selangor')",1
127,"('3_day_before', 'Sarawak')",1
125,"('3_day_before', 'Perlis')",1
124,"('3_day_before', 'Perak')",1
122,"('3_day_before', 'Negeri Sembilan')",1
121,"('3_day_before', 'Melaka')",1
120,"('3_day_before', 'Kelantan')",1
118,"('3_day_before', 'Johor')",1
116,"('2_week_before', 'W.P. Labuan')",1
90,"('2_day_before', 'Kelantan')",1
91,"('2_day_before', 'Melaka')",1
92,"('2_day_before', 'Negeri Sembilan')",1
96,"('2_day_before', 'Sabah')",1
190,"('6_day_before', 'W.P. Kuala Lumpur')",1
100,"('2_day_before', 'W.P. Kuala Lumpur')",1
142,"('3_week_before', 'Sarawak')",1
101,"('2_day_before', 'W.P. Labuan')",1
106,"('2_week_before', 'Melaka')",1
107,"('2_week_before', 'Negeri Sembilan')",1
108,"('2_week_before', 'Pahang')",1
110,"('2_week_before', 'Perlis')",1
113,"('2_week_before', 'Selangor')",1
115,"('2_week_before', 'W.P. Kuala Lumpur')",1
102,"('2_day_before', 'W.P. Putrajaya')",1
144,"('3_week_before', 'Terengganu')",1
145,"('3_week_before', 'W.P. Kuala Lumpur')",1
146,"('3_week_before', 'W.P. Labuan')",1
170,"('5_day_before', 'Perlis')",1
173,"('5_day_before', 'Selangor')",1
174,"('5_day_before', 'Terengganu')",1
176,"('5_day_before', 'W.P. Labuan')",1
177,"('5_day_before', 'W.P. Putrajaya')",1
179,"('6_day_before', 'Kedah')",1
167,"('5_day_before', 'Negeri Sembilan')",1
180,"('6_day_before', 'Kelantan')",1
182,"('6_day_before', 'Negeri Sembilan')",1
183,"('6_day_before', 'Pahang')",1
184,"('6_day_before', 'Perak')",1
185,"('6_day_before', 'Perlis')",1
186,"('6_day_before', 'Sabah')",1
188,"('6_day_before', 'Selangor')",1
181,"('6_day_before', 'Melaka')",1
89,"('2_day_before', 'Kedah')",1
166,"('5_day_before', 'Melaka')",1
164,"('5_day_before', 'Kedah')",1
147,"('3_week_before', 'W.P. Putrajaya')",1
149,"('4_day_before', 'Kedah')",1
150,"('4_day_before', 'Kelantan')",1
151,"('4_day_before', 'Melaka')",1
152,"('4_day_before', 'Negeri Sembilan')",1
153,"('4_day_before', 'Pahang')",1
165,"('5_day_before', 'Kelantan')",1
