,cases_new,cases_import,cases_recovered,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace,rtk-ag,pcr,"('cases_import', 'Johor')","('cases_import', 'Kedah')","('cases_import', 'Kelantan')","('cases_import', 'Melaka')","('cases_import', 'Negeri Sembilan')","('cases_import', 'Pahang')","('cases_import', 'Perak')","('cases_import', 'Perlis')","('cases_import', 'Pulau Pinang')","('cases_import', 'Sabah')","('cases_import', 'Sarawak')","('cases_import', 'Selangor')","('cases_import', 'Terengganu')","('cases_import', 'W.P. Kuala Lumpur')","('cases_import', 'W.P. Labuan')","('cases_import', 'W.P. Putrajaya')","('cases_new', 'Johor')","('cases_new', 'Kedah')","('cases_new', 'Kelantan')","('cases_new', 'Melaka')","('cases_new', 'Negeri Sembilan')","('cases_new', 'Pahang')","('cases_new', 'Perak')","('cases_new', 'Perlis')","('cases_new', 'Pulau Pinang')","('cases_new', 'Sabah')","('cases_new', 'Sarawak')","('cases_new', 'Selangor')","('cases_new', 'Terengganu')","('cases_new', 'W.P. Kuala Lumpur')","('cases_new', 'W.P. Labuan')","('cases_new', 'W.P. Putrajaya')","('1_day_before', 'Johor')","('1_day_before', 'Kedah')","('1_day_before', 'Kelantan')","('1_day_before', 'Melaka')","('1_day_before', 'Negeri Sembilan')","('1_day_before', 'Pahang')","('1_day_before', 'Perak')","('1_day_before', 'Perlis')","('1_day_before', 'Sabah')","('1_day_before', 'Sarawak')","('1_day_before', 'Selangor')","('1_day_before', 'Terengganu')","('1_day_before', 'W.P. Kuala Lumpur')","('1_day_before', 'W.P. Labuan')","('1_day_before', 'W.P. Putrajaya')","('1_month_before', 'Johor')","('1_month_before', 'Kedah')","('1_month_before', 'Kelantan')","('1_month_before', 'Melaka')","('1_month_before', 'Negeri Sembilan')","('1_month_before', 'Pahang')","('1_month_before', 'Perak')","('1_month_before', 'Perlis')","('1_month_before', 'Sabah')","('1_month_before', 'Sarawak')","('1_month_before', 'Selangor')","('1_month_before', 'Terengganu')","('1_month_before', 'W.P. Kuala Lumpur')","('1_month_before', 'W.P. Labuan')","('1_month_before', 'W.P. Putrajaya')","('1_week_before', 'Johor')","('1_week_before', 'Kedah')","('1_week_before', 'Kelantan')","('1_week_before', 'Melaka')","('1_week_before', 'Negeri Sembilan')","('1_week_before', 'Pahang')","('1_week_before', 'Perak')","('1_week_before', 'Perlis')","('1_week_before', 'Sabah')","('1_week_before', 'Sarawak')","('1_week_before', 'Selangor')","('1_week_before', 'Terengganu')","('1_week_before', 'W.P. Kuala Lumpur')","('1_week_before', 'W.P. Labuan')","('1_week_before', 'W.P. Putrajaya')","('2_day_before', 'Johor')","('2_day_before', 'Kedah')","('2_day_before', 'Kelantan')","('2_day_before', 'Melaka')","('2_day_before', 'Negeri Sembilan')","('2_day_before', 'Pahang')","('2_day_before', 'Perak')","('2_day_before', 'Perlis')","('2_day_before', 'Sabah')","('2_day_before', 'Sarawak')","('2_day_before', 'Selangor')","('2_day_before', 'Terengganu')","('2_day_before', 'W.P. Kuala Lumpur')","('2_day_before', 'W.P. Labuan')","('2_day_before', 'W.P. Putrajaya')","('2_week_before', 'Johor')","('2_week_before', 'Kedah')","('2_week_before', 'Kelantan')","('2_week_before', 'Melaka')","('2_week_before', 'Negeri Sembilan')","('2_week_before', 'Pahang')","('2_week_before', 'Perak')","('2_week_before', 'Perlis')","('2_week_before', 'Sabah')","('2_week_before', 'Sarawak')","('2_week_before', 'Selangor')","('2_week_before', 'Terengganu')","('2_week_before', 'W.P. Kuala Lumpur')","('2_week_before', 'W.P. Labuan')","('2_week_before', 'W.P. Putrajaya')","('3_day_before', 'Johor')","('3_day_before', 'Kedah')","('3_day_before', 'Kelantan')","('3_day_before', 'Melaka')","('3_day_before', 'Negeri Sembilan')","('3_day_before', 'Pahang')","('3_day_before', 'Perak')","('3_day_before', 'Perlis')","('3_day_before', 'Sabah')","('3_day_before', 'Sarawak')","('3_day_before', 'Selangor')","('3_day_before', 'Terengganu')","('3_day_before', 'W.P. Kuala Lumpur')","('3_day_before', 'W.P. Labuan')","('3_day_before', 'W.P. Putrajaya')","('3_week_before', 'Johor')","('3_week_before', 'Kedah')","('3_week_before', 'Kelantan')","('3_week_before', 'Melaka')","('3_week_before', 'Negeri Sembilan')","('3_week_before', 'Pahang')","('3_week_before', 'Perak')","('3_week_before', 'Perlis')","('3_week_before', 'Sabah')","('3_week_before', 'Sarawak')","('3_week_before', 'Selangor')","('3_week_before', 'Terengganu')","('3_week_before', 'W.P. Kuala Lumpur')","('3_week_before', 'W.P. Labuan')","('3_week_before', 'W.P. Putrajaya')","('4_day_before', 'Johor')","('4_day_before', 'Kedah')","('4_day_before', 'Kelantan')","('4_day_before', 'Melaka')","('4_day_before', 'Negeri Sembilan')","('4_day_before', 'Pahang')","('4_day_before', 'Perak')","('4_day_before', 'Perlis')","('4_day_before', 'Sabah')","('4_day_before', 'Sarawak')","('4_day_before', 'Selangor')","('4_day_before', 'Terengganu')","('4_day_before', 'W.P. Kuala Lumpur')","('4_day_before', 'W.P. Labuan')","('4_day_before', 'W.P. Putrajaya')","('5_day_before', 'Johor')","('5_day_before', 'Kedah')","('5_day_before', 'Kelantan')","('5_day_before', 'Melaka')","('5_day_before', 'Negeri Sembilan')","('5_day_before', 'Pahang')","('5_day_before', 'Perak')","('5_day_before', 'Perlis')","('5_day_before', 'Sabah')","('5_day_before', 'Sarawak')","('5_day_before', 'Selangor')","('5_day_before', 'Terengganu')","('5_day_before', 'W.P. Kuala Lumpur')","('5_day_before', 'W.P. Labuan')","('5_day_before', 'W.P. Putrajaya')","('6_day_before', 'Johor')","('6_day_before', 'Kedah')","('6_day_before', 'Kelantan')","('6_day_before', 'Melaka')","('6_day_before', 'Negeri Sembilan')","('6_day_before', 'Pahang')","('6_day_before', 'Perak')","('6_day_before', 'Perlis')","('6_day_before', 'Sabah')","('6_day_before', 'Sarawak')","('6_day_before', 'Selangor')","('6_day_before', 'Terengganu')","('6_day_before', 'W.P. Kuala Lumpur')","('6_day_before', 'W.P. Labuan')","('6_day_before', 'W.P. Putrajaya')"
0,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
